time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-06-12T00:00:00.0000000Z;2021-06-13T00:00:00.0000000Z;2021-06-12T00:01:00.0000000Z;2021-06-12T23:59:00.0000000Z;6.190540207342183E-06;6.531906045298528E-06;5.569266395792073E-06;6.272043285002092E-06
2021-06-13T00:00:00.0000000Z;2021-06-14T00:00:00.0000000Z;2021-06-13T00:01:00.0000000Z;2021-06-13T23:59:00.0000000Z;6.300290337473628E-06;7.084667984245062E-06;6.061135288936546E-06;6.860963183804605E-06
2021-06-14T00:00:00.0000000Z;2021-06-15T00:00:00.0000000Z;2021-06-14T00:01:00.0000000Z;2021-06-14T23:59:00.0000000Z;6.909271209155046E-06;7.200660384166752E-06;6.679030198865449E-06;7.08306290612236E-06
2021-06-15T00:00:00.0000000Z;2021-06-16T00:00:00.0000000Z;2021-06-15T00:01:00.0000000Z;2021-06-15T23:59:00.0000000Z;7.085043348167332E-06;9.870788496354823E-06;6.932338640732638E-06;9.02575020841673E-06
2021-06-16T00:00:00.0000000Z;2021-06-17T00:00:00.0000000Z;2021-06-16T00:01:00.0000000Z;2021-06-16T23:59:00.0000000Z;8.970858756499405E-06;9.234013790883434E-06;8.14810302622643E-06;8.308534151486598E-06
2021-06-17T00:00:00.0000000Z;2021-06-18T00:00:00.0000000Z;2021-06-17T00:01:00.0000000Z;2021-06-17T23:59:00.0000000Z;8.359800586288133E-06;8.48092848166469E-06;7.722343146660572E-06;7.95157205675323E-06
2021-06-18T00:00:00.0000000Z;2021-06-19T00:00:00.0000000Z;2021-06-18T00:01:00.0000000Z;2021-06-18T23:59:00.0000000Z;7.940014758532108E-06;7.970566020261489E-06;7.0047369179692225E-06;7.23442118632281E-06
2021-06-19T00:00:00.0000000Z;2021-06-20T00:00:00.0000000Z;2021-06-19T00:01:00.0000000Z;2021-06-19T23:59:00.0000000Z;7.234897605148118E-06;8.450230619976345E-06;7.2146915771702875E-06;7.6060528819962475E-06
2021-06-20T00:00:00.0000000Z;2021-06-21T00:00:00.0000000Z;2021-06-20T00:01:00.0000000Z;2021-06-20T23:59:00.0000000Z;7.617239033756475E-06;8.04015572978665E-06;7.129146678903722E-06;7.79860820807383E-06
2021-06-21T00:00:00.0000000Z;2021-06-22T00:00:00.0000000Z;2021-06-21T00:01:00.0000000Z;2021-06-21T23:59:00.0000000Z;7.786264580989E-06;7.818578968682492E-06;6.089750923345119E-06;6.213567990570972E-06
2021-06-22T00:00:00.0000000Z;2021-06-23T00:00:00.0000000Z;2021-06-22T00:01:00.0000000Z;2021-06-22T23:59:00.0000000Z;6.2512004360132085E-06;6.999120950126217E-06;5.59754373439859E-06;6.3234567818156855E-06
